date,confirmed,recovered,deaths
2020-01-22,0.0,0.0,0.0
2020-01-23,0.0,0.0,0.0
2020-01-24,0.0,0.0,0.0
2020-01-25,0.0,0.0,0.0
2020-01-26,0.0,0.0,0.0
2020-01-27,0.0,0.0,0.0
2020-01-28,0.0,0.0,0.0
2020-01-29,0.0,0.0,0.0
2020-01-30,1.0,0.0,0.0
2020-01-31,1.0,0.0,0.0
2020-02-01,1.0,0.0,0.0
2020-02-02,2.0,0.0,0.0
2020-02-03,3.0,0.0,0.0
2020-02-04,3.0,0.0,0.0
2020-02-05,3.0,0.0,0.0
2020-02-06,3.0,0.0,0.0
2020-02-07,3.0,0.0,0.0
2020-02-08,3.0,0.0,0.0
2020-02-09,3.0,0.0,0.0
2020-02-10,3.0,0.0,0.0
2020-02-11,3.0,0.0,0.0
2020-02-12,3.0,0.0,0.0
2020-02-13,3.0,0.0,0.0
2020-02-14,3.0,0.0,0.0
2020-02-15,3.0,0.0,0.0
2020-02-16,3.0,3.0,0.0
2020-02-17,3.0,3.0,0.0
2020-02-18,3.0,3.0,0.0
2020-02-19,3.0,3.0,0.0
2020-02-20,3.0,3.0,0.0
2020-02-21,3.0,3.0,0.0
2020-02-22,3.0,3.0,0.0
2020-02-23,3.0,3.0,0.0
2020-02-24,3.0,3.0,0.0
2020-02-25,3.0,3.0,0.0
2020-02-26,3.0,3.0,0.0
2020-02-27,3.0,3.0,0.0
2020-02-28,3.0,3.0,0.0
2020-02-29,3.0,3.0,0.0
2020-03-01,3.0,3.0,0.0
2020-03-02,5.0,3.0,0.0
2020-03-03,5.0,3.0,0.0
2020-03-04,28.0,3.0,0.0
2020-03-05,30.0,3.0,0.0
2020-03-06,31.0,3.0,0.0
2020-03-07,34.0,3.0,0.0
2020-03-08,39.0,3.0,0.0
2020-03-09,43.0,3.0,0.0
2020-03-10,56.0,4.0,0.0
2020-03-11,62.0,4.0,1.0
2020-03-12,73.0,4.0,1.0
2020-03-13,82.0,4.0,2.0
2020-03-14,102.0,4.0,2.0
2020-03-15,113.0,13.0,2.0
2020-03-16,119.0,13.0,2.0
2020-03-17,142.0,14.0,3.0
2020-03-18,156.0,14.0,3.0
2020-03-19,194.0,15.0,4.0
2020-03-20,244.0,20.0,5.0
2020-03-21,330.0,23.0,4.0
2020-03-22,396.0,27.0,7.0
2020-03-23,471.0,35.0,9.0
2020-03-24,536.0,41.0,9.0
2020-03-25,657.0,43.0,12.0
